language,category_size,n,tipo_instancia,algoritmo,replica_id,tiempo_ejecucion,memoria_max_mb,costo_minimo,status
Python,XS,4,uniforme,rec_con_memo,20,23826.0,0.00025177001953125,5.0,ok
Python,XS,4,uniforme,prog_dinamica,20,115005.0,0.00020599365234375,5.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,21,22527.0,0.000213623046875,9.0,ok
Python,XS,4,uniforme,rec_con_memo,21,23294.0,0.00025177001953125,9.0,ok
Python,XS,4,uniforme,prog_dinamica,21,32426.0,0.00020599365234375,9.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,22,19225.0,0.000213623046875,3.0,ok
Python,XS,4,uniforme,rec_con_memo,22,19678.0,0.00025177001953125,3.0,ok
Python,XS,4,uniforme,prog_dinamica,22,22710.0,0.00020599365234375,3.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,23,43296.0,0.000213623046875,4.0,ok
Python,XS,4,uniforme,rec_con_memo,23,55890.0,0.00025177001953125,4.0,ok
Python,XS,4,uniforme,prog_dinamica,23,64163.0,0.00020599365234375,4.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,24,78320.0,0.000213623046875,6.0,ok
Python,XS,4,uniforme,rec_con_memo,24,46279.0,0.00025177001953125,6.0,ok
Python,XS,4,uniforme,prog_dinamica,24,27144.0,0.00020599365234375,6.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,25,20983.0,0.000213623046875,3.0,ok
Python,XS,4,uniforme,rec_con_memo,25,19718.0,0.00025177001953125,3.0,ok
Python,XS,4,uniforme,prog_dinamica,25,51814.0,0.00020599365234375,3.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,26,19264.0,0.000213623046875,4.0,ok
Python,XS,4,uniforme,rec_con_memo,26,83368.0,0.00025177001953125,4.0,ok
Python,XS,4,uniforme,prog_dinamica,26,65331.0,0.00020599365234375,4.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,27,59166.0,0.000213623046875,1.0,ok
Python,XS,4,uniforme,rec_con_memo,27,55218.0,0.00025177001953125,1.0,ok
Python,XS,4,uniforme,prog_dinamica,27,72906.0,0.00020599365234375,1.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,28,24696.0,0.000213623046875,3.0,ok
Python,XS,4,uniforme,rec_con_memo,28,60890.0,0.00035858154296875,3.0,ok
Python,XS,4,uniforme,prog_dinamica,28,81240.0,0.00020599365234375,3.0,ok
